serviceCharge,picturecount,pricetrend,livingSpace,baseRentRange,noRooms,noRoomsRange,livingSpaceRange,totalRent
179.0,2,1.83,74.4,3,3,3,3,588.2
0.0,19,2.06,85.0,8,3,3,4,1540.0
250.0,9,2.5,138.53,7,6,5,6,1600.0
75.0,10,4.7,48.0,2,2,2,2,490.0
90.0,1,-1.86,29.0,1,2,2,1,390.0
155.0,9,3.84,106.0,7,4,4,5,1555.0
75.0,14,4.17,120.0,4,4,4,5,550.0
250.0,8,4.02,80.0,4,3,3,3,830.0
160.0,8,3.41,58.0,7,2,2,2,1270.0
150.0,7,4.6,90.0,6,3,3,4,1000.0
85.0,3,3.85,51.0,2,2,2,2,550.0
100.0,15,2.47,75.0,5,3,3,3,750.0
191.0,5,0.82,51.74,1,2,2,2,468.0
160.0,8,3.9,116.46,7,4,4,5,1480.0
90.0,14,4.94,65.5,3,2,2,3,592.0
207.0,4,4.86,73.26,4,2,2,3,719.82
252.0,8,3.66,101.0,5,3,3,5,908.0
100.0,6,2.55,45.0,2,1,1,2,450.0
282.81,6,7.14,94.27,8,3,3,4,1885.4
72.0,2,1.58,31.0,1,1,1,1,222.0
100.0,1,2.63,51.29,1,2,2,2,341.06
200.0,11,3.92,134.0,5,4,4,6,870.0
170.0,9,1.65,70.48,6,3,3,3,1030.0
160.0,7,3.77,94.76,7,3,3,4,1514.5
165.0,9,4.61,66.5,5,2,2,3,845.0
95.0,13,1.37,44.0,1,2,2,2,330.0
120.0,1,7.45,162.0,7,4,4,7,1750.0
79.23,20,0.74,56.59,2,2,2,2,481.02
220.22,8,10.99,78.65,7,3,3,3,1420.42
70.0,2,3.92,53.66,1,3,3,2,405.0
237.63,14,5.04,101.12,7,4,4,5,1399.63
354.0,25,8.17,141.6,9,4,4,6,2619.6
118.0,9,3.17,71.0,3,3,3,3,712.0
80.0,12,2.85,34.0,1,1,1,1,300.0
385.0,10,3.57,66.0,7,1,1,3,1685.0
88.0,7,2.47,48.0,1,2,2,2,373.0
130.0,14,3.23,75.52,5,3,3,3,890.0
110.0,12,5.05,94.0,7,4,4,4,1600.0
130.0,7,2.77,60.49,2,3,3,2,495.0
105.0,5,3.35,36.57,2,1,1,1,438.33
298.0,11,3.46,124.18,7,4,4,6,1490.1
392.5,5,5.08,157.0,9,4,4,7,1957.0
100.0,7,2.04,47.0,1,2,2,2,327.0
150.0,12,3.75,84.0,5,2,2,4,830.0
50.0,11,3.64,51.0,1,2,2,2,320.0
